,Awards,Country,DVD,Director,Language,Metascore,Plot,Poster,Production,Rated,Rating,RatingSource,Released,Response,Runtime,Title,Type,Website,Year,imdbID,imdbRating,imdbVotes
15012,N/A,USA,27 Apr 1999,Irwin Winkler,English,40,A blind man has an operation to regain his sight at the urging of his girlfriend and must deal with the changes to his life.,https://ia.media-imdb.com/images/M/MV5BMTI3NjIzMzk0MF5BMl5BanBnXkFtZTcwMjc2NjAyMQ@@._V1_SX300.jpg,MGM,PG-13,5.9/10,Internet Movie Database,15 Jan 1999,True,128 min,At First Sight,movie,N/A,1999,tt0132512,5.9,"12,020"
15015,2 wins & 5 nominations.,USA,31 May 1999,Brian Robbins,English,50,A back-up quarterback is chosen to lead a Texas football team to victory after the star quarterback is injured.,https://ia.media-imdb.com/images/M/MV5BZGVlYjRmYTUtNTRiYS00ODNmLThlNDQtNzc3OWJmYTlkMzM0L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,6.4/10,Internet Movie Database,15 Jan 1999,True,106 min,Varsity Blues,movie,http://www.varsitybluesmovie.com,1999,tt0139699,6.4,"37,657"
15018,N/A,"USA, UK, Germany, Japan, France",20 Jul 1999,John Bruno,"English, Russian",19,"When the crew of an American tugboat boards an abandoned Russian research vessel, the alien life form aboard regards them as a virus which must be destroyed.",https://images-na.ssl-images-amazon.com/images/M/MV5BNGRiMmNmZGMtOGMwZi00MjMwLTkzZTQtNDViODE2ZmFiZWUzXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,Universal,R,4.9/10,Internet Movie Database,15 Jan 1999,True,99 min,Virus,movie,http://www.virusthemovie.com,1999,tt0120458,4.9,"23,500"
15021,6 nominations.,USA,25 May 1999,Sidney Lumet,English,26,"A street-wise, middle-aged moll named Gloria stands up against the mobs, which is complicated by a six-year-old urchin with a will of his own who she reluctantly takes under her wing after ...",https://images-na.ssl-images-amazon.com/images/M/MV5BZjYyZDI5MDUtMjBlMy00ZTU3LWE1NDMtY2Q1ZDU1N2E2Nzc0XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Sony Pictures Entertainment,R,5.1/10,Internet Movie Database,22 Jan 1999,True,108 min,Gloria,movie,N/A,1999,tt0120683,5.1,"4,716"
15024,8 wins & 5 nominations.,USA,15 Jan 2002,Robert Iscove,English,51,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y0N2YyOTQtMGNiYy00ZDViLTgxYmItODkxNzlkMWVjNTFkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax,PG-13,5.8/10,Internet Movie Database,29 Jan 1999,True,95 min,She's All That,movie,N/A,1999,tt0160862,5.8,"73,439"
15027,2 wins & 2 nominations.,USA,27 Jul 1999,Brian Helgeland,English,46,"After a successful heist, Porter is shot by his wife and his best friend. They leave him there to die but when he recovers, he seeks revenge and wants his share of the money.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNTcxNzU0Ml5BMl5BanBnXkFtZTgwNjIwODQxMTE@._V1_SX300.jpg,Paramount Pictures,R,7.1/10,Internet Movie Database,05 Feb 1999,True,100 min,Payback,movie,http://www.paybackmovie.com,1999,tt0120784,7.1,"119,703"
15030,N/A,"Germany, USA",17 Aug 1999,Mark Tarlov,"English, French",27,"A magical crab works wonders for a terrible chef's culinary skills, leading her towards the man of her dreams.",https://images-na.ssl-images-amazon.com/images/M/MV5BMDQxOTA5NmQtYjQ0MS00MjI1LWIxYTEtNWY1YThjMTUzNDFhXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,5.3/10,Internet Movie Database,05 Feb 1999,True,96 min,Simply Irresistible,movie,N/A,1999,tt0145893,5.3,"12,086"
15033,1 nomination.,USA,26 Dec 2001,Hugh Wilson,"English, French, German, Latin",48,A naive man comes out into the world after spending 35 years in a nuclear fallout shelter.,https://images-na.ssl-images-amazon.com/images/M/MV5BZGFiZjRhMTYtZmMzYS00MGEyLWEzN2EtNWMzMjA3OGI0NGZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,New Line Home Entertainment,PG-13,6.6/10,Internet Movie Database,12 Feb 1999,True,112 min,Blast from the Past,movie,N/A,1999,tt0124298,6.6,"53,147"
15036,6 nominations.,USA,03 Aug 1999,Luis Mandoki,English,39,"A woman discovers a tragic love letter in a bottle on a beach, and is determined to track down its author.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzk4YmJmZjAtMjc5Yy00ZWNmLTkzYTgtM2ZhM2Y1ZWE3MGM0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,6.2/10,Internet Movie Database,12 Feb 1999,True,126 min,Message in a Bottle,movie,N/A,1999,tt0139462,6.2,"31,689"
15039,3 nominations.,USA,17 Jul 2001,Donald Petrie,English,N/A,A Martian lands on Earth and makes friends with a reporter.,https://ia.media-imdb.com/images/M/MV5BMGJmMGY1MmQtYzllNy00MWM5LWE2MDUtNWViZGI1MWY1ZWMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Walt Disney Productions,PG,5.0/10,Internet Movie Database,12 Feb 1999,True,94 min,My Favorite Martian,movie,N/A,1999,tt0120764,5.0,"11,580"
15041,1 nomination.,USA,22 May 2001,Darren Stein,English,22,Three of the most popular girls at Reagan High accidentally kill the prom queen with a jawbreaker when a kidnapping goes horribly wrong.,https://ia.media-imdb.com/images/M/MV5BOTcwZWZkZWUtZjRhMi00ZDNhLTljOWItNjBkNzIwYTA0YWQyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia TriStar,R,5.5/10,Internet Movie Database,19 Feb 1999,True,87 min,Jawbreaker,movie,N/A,1999,tt0155776,5.5,"20,745"
15044,4 wins & 11 nominations.,USA,29 Jul 1999,Joe Johnston,English,71,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",https://ia.media-imdb.com/images/M/MV5BYTFkOGU0ZTktMjAwZi00OTIzLTgxOTMtZWJmOWFmOThhNWZkXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_SX300.jpg,Universal,PG,7.8/10,Internet Movie Database,19 Feb 1999,True,108 min,October Sky,movie,http://www.octobersky.com,1999,tt0132477,7.8,"70,992"
15047,2 nominations.,USA,31 Aug 1999,Mike Judge,English,68,Three company workers who hate their jobs decide to rebel against their greedy boss.,https://images-na.ssl-images-amazon.com/images/M/MV5BOTA5MzQ3MzI1NV5BMl5BanBnXkFtZTgwNTcxNTYxMTE@._V1_SX300.jpg,20th Century Fox,R,7.8/10,Internet Movie Database,19 Feb 1999,True,89 min,Office Space,movie,http://www.officeguy.com,1999,tt0151804,7.8,"216,123"
15050,2 nominations.,USA,31 Aug 1999,Risa Bramon Garcia,English,33,"A collection of twentysomethings try to cope with relationships, loneliness, desire and their individual neuroses.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzhmMTdjNTEtYjk5OC00NTgzLThmNWYtZDU2YTVkNWQ0M2YyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,5.9/10,Internet Movie Database,26 Feb 1999,True,101 min,200 Cigarettes,movie,http://www.200cigarettes.com,1999,tt0137338,5.9,"13,631"
15053,N/A,USA,19 Jun 2001,Eric Meza,English,N/A,"A Sunday in the life of Derrick King, an Irish kid raised in South Central L.A. by a Black family. He talks Black, dresses Black, and thinks of himself as Black. It's a day of disasters: ...",https://images-na.ssl-images-amazon.com/images/M/MV5BNTUxNjEwNzU1OV5BMl5BanBnXkFtZTcwMDk1MjQyMQ@@._V1_SX300.jpg,Lionsgate,R,6.2/10,Internet Movie Database,26 Feb 1999,True,86 min,The Breaks,movie,N/A,1999,tt0181322,6.2,"1,029"
15054,2 nominations.,USA,17 Apr 2001,Garry Marshall,English,28,A mentally challenged young woman seeks independence by obtaining her own apartment and attending college while her family plans her sister's wedding.,https://ia.media-imdb.com/images/M/MV5BZTlkNDFhZmEtNjhiMC00NzM4LWJmZmYtYWUyYzM0YjMzYmFhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Buena Vista,PG-13,6.5/10,Internet Movie Database,26 Feb 1999,True,129 min,The Other Sister,movie,N/A,1999,tt0123209,6.5,"11,000"
15057,2 wins & 2 nominations.,"Germany, USA",22 May 2001,Joel Schumacher,English,19,"A private investigator is hired to discover if a ""snuff film"" is authentic or not.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjQwMmZmNWUtNGE0MS00ZjQ5LTkwNGItYWY3M2FhZDU5ZjBhXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Columbia Pictures,R,6.5/10,Internet Movie Database,26 Feb 1999,True,123 min,8MM,movie,http://www.spe.sony.com/movies/8mm/index.html,1999,tt0134273,6.5,"110,957"
15060,Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,"USA, Australia",17 Aug 1999,Harold Ramis,English,61,A comedy about a psychiatrist whose number one patient is an insecure mob boss.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTIzNjQ5OTMtM2U2NS00YTNkLWIzMmYtOTcyOTA5MDU0YTdjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Warner Bros. Pictures,R,6.7/10,Internet Movie Database,05 Mar 1999,True,103 min,Analyze This,movie,http://www.analyzethis.com,1999,tt0122933,6.7,"132,321"
15063,7 wins & 14 nominations.,USA,03 Aug 1999,Roger Kumble,"English, Vietnamese, French",56,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxNjM5OTQ2M15BMl5BanBnXkFtZTgwNjUxNzYxMTE@._V1_SX300.jpg,Columbia Pictures,R,6.8/10,Internet Movie Database,05 Mar 1999,True,97 min,Cruel Intentions,movie,http://www.cruelintentions.com,1999,tt0139134,6.8,"160,216"
15066,1 nomination.,USA,04 Sep 2001,James Foley,"English, Cantonese",56,"With the aid from a New York City policeman, a top immigrant cop tries to stop drug-trafficking and corruption by immigrant Chinese Triads, but things get complicated when the Triads try to bribe the policeman.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2RmNmM4ZmYtZWQ5OS00OTkyLWI3NWMtNDJmYjA5YWFkNWMxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,New Line Home Entertainment,R,6.0/10,Internet Movie Database,12 Mar 1999,True,110 min,The Corruptor,movie,http://www.corruptor.com,1999,tt0142192,6.0,"16,032"
15069,3 wins & 2 nominations.,USA,06 Mar 2001,Ulu Grosbard,English,45,"The Deep End of The Ocean is a film about a family's reaction when Ben, the youngest son is kidnapped and then found nine years later, living in the same town, where his family had just moved.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTYzYTQ0MDUtN2QwYy00ZDFmLWFlYWMtNDhlOTJhZWE4ZTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Entertainment,PG-13,6.3/10,Internet Movie Database,12 Mar 1999,True,106 min,The Deep End of the Ocean,movie,N/A,1999,tt0120646,6.3,"11,229"
15072,1 win & 2 nominations.,USA,N/A,"Katt Shea, Robert Mandel",English,42,"A horrible massacre strikes up after an outcast teenage girl is taunted by a group of high school jocks, all of them unaware of her cutthroat telekinetic powers.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwNzMwNjUyNV5BMl5BanBnXkFtZTcwMzk3MTE3NA@@._V1_SX300.jpg,N/A,R,4.6/10,Internet Movie Database,12 Mar 1999,True,104 min,The Rage: Carrie 2,movie,N/A,1999,tt0144814,4.6,"13,851"
15074,1 win & 4 nominations.,USA,27 Jul 1999,Bob Clark,English,6,"Scientist hold talking, super-intelligent babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",https://images-na.ssl-images-amazon.com/images/M/MV5BZmRhMWVmOTQtNjUwMS00MzEwLWFkNWQtNWJlMTk3NDcyYzM1XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,TriStar Pictures,PG,2.6/10,Internet Movie Database,12 Mar 1999,True,97 min,Baby Geniuses,movie,N/A,1999,tt0118665,2.6,"21,555"
15077,N/A,"USA, Luxembourg",18 Dec 2001,Chris Roberts,English,21,"Blair, a fighter pilot, joins an interstellar war to fight the evil Kilrathi who are trying to destroy the universe.",https://ia.media-imdb.com/images/M/MV5BMTc1MDI1MDMyN15BMl5BanBnXkFtZTcwMzgzMTIyMQ@@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,4.2/10,Internet Movie Database,12 Mar 1999,True,100 min,Wing Commander,movie,N/A,1999,tt0131646,4.2,"15,283"
15080,4 nominations.,USA,10 Aug 1999,Clint Eastwood,English,65,Can an over-the-hill journalist uncover the evidence that can prove a death row inmate's innocence just hours before his execution?,https://images-na.ssl-images-amazon.com/images/M/MV5BNjgwMjkxNzY4OV5BMl5BanBnXkFtZTcwNzIyNTY1Mw@@._V1_SX300.jpg,Warner Bros. Pictures,R,6.6/10,Internet Movie Database,19 Mar 1999,True,127 min,True Crime,movie,N/A,1999,tt0139668,6.6,"27,737"
15083,2 wins & 5 nominations.,USA,19 Dec 2000,Bronwen Hughes,English,46,A soon-to-be-married man encounters an exciting stranger after his plane suffers an accident on takeoff.,https://images-na.ssl-images-amazon.com/images/M/MV5BNWI5OWE0MWQtNjliMi00MjE4LTg5ODAtOTM0YjA2OWVlYzgwXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,Dreamworks Distribution,PG-13,5.4/10,Internet Movie Database,19 Mar 1999,True,105 min,Forces of Nature,movie,N/A,1999,tt0141098,5.4,"28,696"
15086,6 nominations.,USA,03 Jul 1999,Richard Rich,English,29,"Traveling to the exotic kingdom of Siam, English schoolteacher Anna Leonowens soon discovers that her most difficult challenge is the stubborn, imperious King himself.",https://ia.media-imdb.com/images/M/MV5BMTI4ODA0NTc3NF5BMl5BanBnXkFtZTcwNTAxMjEyMQ@@._V1_SX300.jpg,Warner Bros. Pictures,G,4.2/10,Internet Movie Database,19 Mar 1999,True,87 min,The King and I,movie,N/A,1999,tt0160429,4.2,"3,289"
15089,1 nomination.,USA,21 Sep 1999,Maurice Joyce,English,N/A,Doug and his pal Skeeter set's out to find the monster of Lucky Duck Lake. Though things get really out of hand when some one blurts out that the monster is real.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5MTk1OTA1NV5BMl5BanBnXkFtZTYwNDU4NjM5._V1_SX300.jpg,Walt Disney Productions,G,5.0/10,Internet Movie Database,26 Mar 1999,True,77 min,Doug's 1st Movie,movie,N/A,1999,tt0187819,5.0,"2,631"
15091,1 win & 1 nomination.,USA,17 Aug 1999,Ron Howard,English,48,A video store clerk agrees to have his life filmed by a camera crew for a television show.,https://images-na.ssl-images-amazon.com/images/M/MV5BYjBhNjc1NjktZTg4OS00YmUyLWI4YjAtNGIxZGM4ZTdkNmZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Studios,PG-13,6.1/10,Internet Movie Database,26 Mar 1999,True,122 min,Edtv,movie,N/A,1999,tt0131369,6.1,"37,594"
15094,7 nominations.,USA,24 Aug 1999,Scott Silver,English,16,"Three minor delinquints (Danes, Ribisi, and Epps) are recruited by a cop (Farina) working undercover to bust a cop/drug ring. When the officer who recruited them is killed, they go above ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMzgyNTc5Ml5BMl5BanBnXkFtZTcwNzE0ODI1NA@@._V1_SX300.jpg,MGM,R,4.2/10,Internet Movie Database,26 Mar 1999,True,92 min,The Mod Squad,movie,N/A,1999,tt0120757,4.2,"8,010"
15100,2 wins & 12 nominations.,USA,12 Oct 1999,Gil Junger,"English, French",70,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",https://images-na.ssl-images-amazon.com/images/M/MV5BMmVhZjhlZDYtMDAwZi00MDcyLTgzOTItOWNiZjY0YmE0MGE0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,PG-13,7.2/10,Internet Movie Database,31 Mar 1999,True,97 min,10 Things I Hate About You,movie,N/A,1999,tt0147800,7.2,"249,909"
15103,2 wins & 11 nominations.,USA,01 May 2001,Robert Altman,English,70,Conflict arises in the small town of Holly Springs when an old woman's death causes a variety of reactions among family and friends.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2MDQ4MTY3OV5BMl5BanBnXkFtZTcwMzQyNzEyMQ@@._V1_SX300.jpg,October Film,PG-13,6.9/10,Internet Movie Database,16 Apr 1999,True,118 min,Cookie's Fortune,movie,N/A,1999,tt0126250,6.9,"11,625"
15106,1 win.,USA,21 Sep 1999,Sam Weisman,English,33,"The remake of the 1970 Neil Simon comedy follows the adventures of a couple, Henry and Nancy Clark, vexed by misfortune while in New York City for a job interview.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjJhOWM3YzMtMzE4Ny00YWE4LWFjZGItYjZkYmRlYTVlMmE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,PG-13,5.3/10,Internet Movie Database,02 Apr 1999,True,90 min,The Out-of-Towners,movie,N/A,1999,tt0129280,5.3,"11,418"
15109,1 win & 6 nominations.,USA,02 Oct 2001,Tony Goldwyn,English,70,The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0MzI4NTQzN15BMl5BanBnXkFtZTcwNTMzNDgxMQ@@._V1_SX300.jpg,Miramax,R,6.6/10,Internet Movie Database,23 Apr 1999,True,107 min,A Walk on the Moon,movie,N/A,1999,tt0120613,6.6,"7,154"
15112,5 wins & 7 nominations.,USA,24 Aug 1999,Doug Liman,English,72,"Go! tells the story of the events after a drug deal, told from three different points of view.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzJhNGExMDYtMWEyOS00MzMxLWJiYTYtMDYxNTRmNjdjM2VlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,R,7.3/10,Internet Movie Database,09 Apr 1999,True,102 min,Go,movie,http://www.spe.sony.com/movies/go/index.html,1999,tt0139239,7.3,"61,943"
15115,2 wins & 8 nominations.,USA,08 Jan 2002,Raja Gosnell,English,60,A newspaper reporter enrolls in high school as part of research for a story.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjZmNTUzN2QtYzUxZi00M2YwLTgzNTgtZDkzYjg0YWVmNmYzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,20th Century Fox,PG-13,6.0/10,Internet Movie Database,09 Apr 1999,True,107 min,Never Been Kissed,movie,http://www.foxmovies.com/neverbeenkissed,1999,tt0151738,6.0,"73,680"
15121,Nominated for 1 Oscar. Another 1 win & 5 nominations.,USA,19 Oct 1999,Ted Demme,English,63,"In 1932, two strangers are wrongfully convicted and develop a strong friendship in prison that lasts them through the 20th century.",https://images-na.ssl-images-amazon.com/images/M/MV5BN2M0YWM1OTgtMDY1Ni00Y2RkLTkxNzktODUyNDU0YWFkYjQyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,R,6.7/10,Internet Movie Database,16 Apr 1999,True,108 min,Life,movie,http://www.universalpictures.com/life,1999,tt0123964,6.7,"36,986"
15124,N/A,USA,14 Nov 2006,George Haas,English,N/A,"Friends for ten years, a group of twenty-somethings head for the ski slopes as guests of Ian's father. (Ian and dad are estranged because dad worked too many hours when Ian was a lad.) Dad ...","https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzMDExNzU3MF5BMl5BanBnXkFtZTcwNzM3NTc0MQ@@._V1._CR21,16,317,460_SY132_CR1,0,89,132_AL_.jpg_V1_SX300.jpg",N/A,R,4.5/10,Internet Movie Database,16 Apr 1999,True,103 min,Friends & Lovers,movie,N/A,1999,tt0143261,4.5,"1,337"
15125,1 nomination.,USA,05 Oct 1999,Jeff Pollack,English,19,"In order to impress his beautiful French neighbor, Dylan Ramsey dognaps her pet pooch so he can return him and become a hero. Unfortunately, things do not work out as planned.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyNzcwOTIyMl5BMl5BanBnXkFtZTcwMDQ3OTQxMQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,5.0/10,Internet Movie Database,23 Apr 1999,True,95 min,Lost & Found,movie,http://www.wb-lostandfound.com,1999,tt0120836,5.0,"5,826"
15128,2 nominations.,"USA, Germany",14 Aug 2001,Mike Newell,"English, French",47,"A feud develops between two air traffic controllers: one cocky and determined while the other is restrained and laidback, which inevitably affects their lives.",https://images-na.ssl-images-amazon.com/images/M/MV5BZWNiMDdmNzUtOWE0MC00MjViLTkyOTctYTI0ZmUzOTU4ZTBiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,R,6.0/10,Internet Movie Database,23 Apr 1999,True,124 min,Pushing Tin,movie,http://www.foxmovies.com/pushingtin,1999,tt0120797,6.0,"25,989"
15131,3 wins & 7 nominations.,"Canada, UK, France",19 Oct 1999,David Cronenberg,English,68,A game designer on the run from assassins must play her latest virtual reality creation with a marketing trainee to determine if the game has been damaged.,https://images-na.ssl-images-amazon.com/images/M/MV5BMmU1MTJkYWItMzM5Ny00NDgxLTgxOGEtNTkzNDdkZjkwNGI0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Miramax,R,6.8/10,Internet Movie Database,23 Apr 1999,True,97 min,eXistenZ,movie,N/A,1999,tt0120907,6.8,"83,689"
15134,4 wins & 6 nominations.,"USA, UK, Germany",23 Nov 1999,Jon Amiel,English,54,An insurance agent is sent by her employer to track down and help capture an art thief.,https://images-na.ssl-images-amazon.com/images/M/MV5BODgyMmE3YWQtNDE4Yy00ODExLThmNDUtYmM4ZTk2ZTVjNDEzL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_SX300.jpg,Twentieth Century Fox Home Entertainment,PG-13,6.3/10,Internet Movie Database,30 Apr 1999,True,113 min,Entrapment,movie,http://www.foxmovies.com/entrapmentcs.html,1999,tt0137494,6.3,"95,451"
15137,2 nominations.,USA,28 Aug 2001,Rodman Flender,English,31,A teenage slacker's right hand becomes possessed with murderous intent.,https://images-na.ssl-images-amazon.com/images/M/MV5BNWE4YzE1NzItNjc3OC00ODgzLTgxMDItYzY4NmI2YjZiYmQwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,R,6.2/10,Internet Movie Database,30 Apr 1999,True,92 min,Idle Hands,movie,http://www.spe.sony.com/movies/jump/f_idlehands.html,1999,tt0138510,6.2,"35,698"
15143,Nominated for 1 Oscar. Another 16 wins & 33 nominations.,USA,19 Oct 1999,Alexander Payne,"English, Spanish",83,"A high school teacher's personal life becomes complicated as he works with students during the school elections, particularly with an obsessive overachiever determined to become student body president.",https://images-na.ssl-images-amazon.com/images/M/MV5BYjViYWQ4NjAtZmUzNy00Nzg5LWJkMzctMTgwOTRhNjdjYWI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paramount Pictures,R,7.3/10,Internet Movie Database,07 May 1999,True,103 min,Election,movie,http://www.electionmovie.com,1999,tt0126886,7.3,"79,419"
15146,N/A,USA,01 Feb 2005,David Raynr,English,N/A,"Greg is near the end of his senior year in high school, wanting to go to the prom, eyeing Cinny (the school's beauty with brains) from afar, and regularly trippin', daydreaming about being ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNTEzNDI3Ml5BMl5BanBnXkFtZTcwNjM4NjcyMQ@@._V1_SX300.jpg,USA Home Entertainment,R,5.2/10,Internet Movie Database,12 May 1999,True,94 min,Trippin',movie,N/A,1999,tt0160298,5.2,"1,055"
15148,1 win & 1 nomination.,"UK, Italy, USA",N/A,Michael Hoffman,"English, Italian",61,"Lovers' lives are complicated by city law, feuding faerie royalty, and... love.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjI5YzcxZmUtMWUzOC00MGJmLWFjODgtYTlhNTViNjFmYzE5XkEyXkFqcGdeQXVyMTY2MzYyNzA@._V1_SX300.jpg,N/A,PG-13,6.5/10,Internet Movie Database,14 May 1999,True,116 min,A Midsummer Night's Dream,movie,N/A,1999,tt0140379,6.5,"22,257"
15150,1 win & 7 nominations.,"France, Germany, USA, Japan",22 Aug 2000,Jim Jarmusch,"English, French",67,An African American mafia hit man who models himself after the samurai of old finds himself targeted for death by the mob.,https://images-na.ssl-images-amazon.com/images/M/MV5BZWQxZTJmN2YtMjdmMS00ZTFmLTk5ZDYtODA4ZDA1YWQ2MjMyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Artisan Entertainment,R,7.5/10,Internet Movie Database,24 Mar 2000,True,116 min,Ghost Dog: The Way of the Samurai,movie,http://www.wayofthesamurai.com,1999,tt0165798,7.5,"75,637"
15156,1 nomination.,USA,23 Nov 1999,Peter Ho-Sun Chan,English,N/A,"The power of words and images to open hearts. Helen runs, miles a day, to burn off energy: she's an emotional celibate. Going through the post at her shop, she finds a romantic and poetic ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyOTcyNjk0Ml5BMl5BanBnXkFtZTcwNDc3NTkxMQ@@._V1_SX300.jpg,DreamWorks SKG,PG-13,5.4/10,Internet Movie Database,21 May 1999,True,88 min,The Love Letter,movie,N/A,1999,tt0166252,5.4,"3,666"
15158,Nominated for 1 Oscar. Another 14 wins & 37 nominations.,"France, UK, USA",07 Nov 2000,David Lynch,English,86,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,https://ia.media-imdb.com/images/M/MV5BNmE1MDk4OWEtYjk1NS00MWU2LTk5ZWItYjZhYmRkODRjMDc0XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Buena Vista Pictures,G,8.0/10,Internet Movie Database,03 Nov 1999,True,112 min,The Straight Story,movie,http://disney.go.com/DisneyPictures/straightstory/index.html,1999,tt0166896,8.0,"70,528"
15164,1 nomination.,"Germany, USA",22 May 2001,Josef Rusnak,English,36,A computer scientist running a virtual reality simulation of 1937 becomes the primary suspect when his colleague and mentor is murdered.,https://images-na.ssl-images-amazon.com/images/M/MV5BODYxZTZlZTgtNTM5MC00N2RhLTg3MjUtNGVkMDJjMGY3YzA5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Sony Pictures Home Entertainment,R,7.0/10,Internet Movie Database,28 May 1999,True,100 min,The Thirteenth Floor,movie,http://www.thethirteenthfloor.com,1999,tt0139809,7.0,"57,774"
15167,1 win & 2 nominations.,USA,15 Jan 2002,Jon Turteltaub,English,43,"When a noted anthropologist who left society to live in the jungle is imprisoned for murder, it's up to a young psychiatrist to get through to him.",https://images-na.ssl-images-amazon.com/images/M/MV5BYzNlYjcyM2QtNzY2OS00NDQ5LWI3ZDEtMWEyZjIwOWU3NDJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,R,6.5/10,Internet Movie Database,04 Jun 1999,True,126 min,Instinct,movie,N/A,1999,tt0128278,6.5,"29,068"
